NM_BAIRRO,POPULTOT,AreaKm2_p8,DnsPKm2_p8,geometry
Cidade Baixa,448,0.02576703,17386.55949095,"POLYGON ((-51.2225358525834 -30.0352622274792, -51.2233152524659 -30.0364798180187, -51.2236480082077 -30.0370216421508, -51.2248183317381 -30.036101509572006, -51.2248780546962 -30.036055997783595, -51.224757742283 -30.035905212813596, -51.2247046916928 -30.035872519681003, -51.224563515887006 -30.035785518211007, -51.2241822434505 -30.035510017950294, -51.223958055876494 -30.0354418130156, -51.2238750238201 -30.0354166855268, -51.2234951731766 -30.035310841296006, -51.2232389086554 -30.0352760801526, -51.2225358525834 -30.0352622274792))"
Cidade Baixa,305,0.0076065,40097.28521659,"POLYGON ((-51.222206433524796 -30.0364482869892, -51.2220438037975 -30.0365532600598, -51.2219453276511 -30.036585015692403, -51.2228675479648 -30.037614840435996, -51.2236480082077 -30.0370216421508, -51.222644185110795 -30.036944812389894, -51.222206433524796 -30.0364482869892))"
Cidade Baixa,178,0.02381312,7474.87099548,"POLYGON ((-51.2215178100037 -30.035079316074903, -51.2217258496131 -30.035832738527496, -51.2218580897791 -30.036020126296496, -51.2218715178484 -30.0360391542213, -51.221977646246 -30.0361887820578, -51.222206433524796 -30.0364482869892, -51.222644185110795 -30.036944812389894, -51.2236480082077 -30.0370216421508, -51.2233152524659 -30.0364798180187, -51.2225358525834 -30.0352622274792, -51.2224796507061 -30.0352611201049, -51.2217503043741 -30.035171202049497, -51.2215178100037 -30.035079316074903))"
Cidade Baixa,231,0.01237386,18668.38642105,"POLYGON ((-51.2219453276511 -30.036585015692403, -51.221938061629004 -30.036576901872603, -51.221308877786804 -30.0372250215631, -51.2224017018753 -30.037974120466096, -51.2228675479648 -30.037614840435996, -51.2219453276511 -30.036585015692403))"
Cidade Baixa,264,0.00909818,29016.79236946,"POLYGON ((-51.2218580897791 -30.036020126296496, -51.221246388699996 -30.0366412364224, -51.2203666229899 -30.0365822855395, -51.221308877786804 -30.0372250215631, -51.221938061629004 -30.036576901872603, -51.2219453276511 -30.036585015692403, -51.2220438037975 -30.0365532600598, -51.222206433524796 -30.0364482869892, -51.221977646246 -30.0361887820578, -51.2218715178484 -30.0360391542213, -51.2218580897791 -30.036020126296496))"
Cidade Baixa,442,0.01311276,33707.62524442,"POLYGON ((-51.2215178100037 -30.035079316074903, -51.2203666229899 -30.0365822855395, -51.221246388699996 -30.0366412364224, -51.2218580897791 -30.036020126296496, -51.2217258496131 -30.035832738527496, -51.2215178100037 -30.035079316074903))"
Farroupilha,539,0.04135547,13033.34238494,"POLYGON ((-51.2146591387488 -30.039065280327893, -51.21401014361359 -30.0399737315332, -51.214978507911894 -30.040542311278298, -51.215543670006014 -30.0408741489143, -51.2159414451687 -30.0411081343206, -51.216111959596496 -30.041210514437598, -51.2165613088282 -30.041480312293004, -51.217231716105296 -30.040600642256297, -51.217253349561396 -30.0405734809463, -51.2146591387488 -30.039065280327893))"
Farroupilha,411,0.07407443,5548.47333959,"POLYGON ((-51.2103024553272 -30.036502085315803, -51.20985908852639 -30.036733210466497, -51.2091545654185 -30.037100475244007, -51.20911679248639 -30.037109000315002, -51.209602995254095 -30.037392555567397, -51.21025340961649 -30.0377718796292, -51.2107674133609 -30.038071648514002, -51.211390548850694 -30.0384370108467, -51.2124602853665 -30.039064228257804, -51.2130698262444 -30.039421619677, -51.21401014361359 -30.0399737315332, -51.2146591387488 -30.039065280327893, -51.2103024553272 -30.036502085315803))"
Santana,476,0.02258263,21078.14723086,"POLYGON ((-51.21401014361359 -30.0399737315332, -51.213793581229005 -30.040276871493194, -51.213284611338395 -30.040997526730898, -51.2133045366776 -30.041009550029298, -51.2139845869731 -30.040829762597998, -51.2155913696215 -30.0418243493392, -51.215799340624294 -30.042480123334293, -51.2165613088282 -30.041480312293004, -51.216111959596496 -30.041210514437598, -51.2157445154188 -30.041654438341798, -51.215431869497294 -30.041455508711604, -51.214663248154395 -30.040968538335296, -51.214978507911894 -30.040542311278298, -51.21401014361359 -30.0399737315332))"
Santana,252,0.00884475,28491.47799542,"POLYGON ((-51.214978507911894 -30.040542311278298, -51.214663248154395 -30.040968538335296, -51.215431869497294 -30.041455508711604, -51.2157445154188 -30.041654438341798, -51.216111959596496 -30.041210514437598, -51.2159414451687 -30.0411081343206, -51.215543670006014 -30.0408741489143, -51.214978507911894 -30.040542311278298))"
